Designator,Mid X,Mid Y,Rotation,Layer
J5,91.5,-51.25,0.0,top
J6,112.25,-51.25,0.0,top
J7,133.0,-51.25,0.0,top
J8,153.75,-51.25,0.0,top
J9,174.5,-51.25,0.0,top
R1,161.0,-135.75,90.0,top
R100,146.75,-84.5,180.0,top
R101,160.25,-78.0,0.0,top
R102,155.25,-78.0,0.0,top
R103,150.25,-78.0,0.0,top
R104,145.25,-78.0,0.0,top
R105,183.0,-78.0,180.0,top
R107,178.0,-78.0,180.0,top
R109,173.0,-78.0,180.0,top
R11,74.25,-78.0,180.0,top
R111,168.0,-78.0,180.0,top
R113,182.499999,-84.5,180.0,top
R114,177.5,-84.5,180.0,top
R115,172.5,-84.5,180.0,top
R116,167.5,-84.5,180.0,top
R117,181.0,-78.0,0.0,top
R118,176.0,-78.0,0.0,top
R119,171.0,-78.0,0.0,top
R120,166.0,-78.0,0.0,top
R121,203.75,-78.0,180.0,top
R123,198.75,-78.0,180.0,top
R125,193.75,-78.0,180.0,top
R127,188.75,-78.0,180.0,top
R129,203.249999,-84.5,180.0,top
R13,69.25,-78.0,180.0,top
R130,198.25,-84.5,180.0,top
R131,193.25,-84.5,180.0,top
R132,188.25,-84.5,180.0,top
R133,201.75,-78.0,0.0,top
R134,196.75,-78.0,0.0,top
R135,191.75,-78.0,0.0,top
R136,186.75,-78.0,0.0,top
R137,253.750001,-84.75,270.0,top
R138,254.750001,-84.75,90.0,top
R139,262.75,-84.5,270.0,top
R140,263.75,-84.5,90.0,top
R141,256.000001,-73.5,0.0,top
R142,252.500001,-73.5,0.0,top
R143,264.999999,-73.5,0.0,top
R144,261.500001,-73.5,0.0,top
R145,209.45,-76.75,180.0,top
R146,211.7,-76.75,0.0,top
R147,207.95,-77.25,270.0,top
R148,213.2,-77.25,270.0,top
R149,61.75,-118.5,0.0,top
R15,64.25,-78.0,180.0,top
R150,49.5,-118.5,0.0,top
R151,63.25,-118.999999,270.0,top
R152,51.0,-118.999999,270.0,top
R153,63.25,-121.0,270.0,top
R154,51.0,-121.0,270.0,top
R155,57.0,-127.75,90.0,top
R156,59.0,-127.75,270.0,top
R157,59.5,-122.0,90.0,top
R158,60.5,-122.0,270.0,top
R159,53.25,-124.5,180.0,top
R160,183.0,-125.5,270.0,top
R161,186.0,-125.5,90.0,top
R162,210.5,-126.25,90.0,top
R163,206.75,-112.25,0.0,top
R164,209.25,-112.25,180.0,top
R17,78.749999,-84.5,180.0,top
R18,73.75,-84.5,180.0,top
R19,68.75,-84.5,180.0,top
R2,217.5,-89.25,90.0,top
R20,63.75,-84.5,180.0,top
R21,77.25,-78.0,0.0,top
R22,72.25,-78.0,0.0,top
R23,67.25,-78.0,0.0,top
R24,62.25,-78.0,0.0,top
R25,58.5,-78.0,180.0,top
R27,53.5,-78.0,180.0,top
R29,48.5,-78.0,180.0,top
R3,218.5,-89.25,270.0,top
R31,43.5,-78.0,180.0,top
R33,57.999999,-84.5,180.0,top
R34,53.0,-84.5,180.0,top
R35,48.0,-84.5,180.0,top
R36,43.0,-84.5,180.0,top
R37,56.5,-78.0,0.0,top
R38,51.5,-78.0,0.0,top
R39,46.5,-78.0,0.0,top
R4,221.0,-87.0,180.0,top
R40,41.5,-78.0,0.0,top
R41,100.0,-78.0,180.0,top
R43,95.0,-78.0,180.0,top
R45,90.0,-78.0,180.0,top
R47,85.0,-78.0,180.0,top
R49,99.499999,-84.5,180.0,top
R5,119.5,-136.25,90.0,top
R50,94.5,-84.5,180.0,top
R51,89.5,-84.5,180.0,top
R52,84.5,-84.5,180.0,top
R53,98.0,-78.0,0.0,top
R54,93.0,-78.0,0.0,top
R55,88.0,-78.0,0.0,top
R56,83.0,-78.0,0.0,top
R57,120.75,-78.0,180.0,top
R59,115.75,-78.0,180.0,top
R6,127.4,-124.3,270.0,top
R61,110.75,-78.0,180.0,top
R63,105.75,-78.0,180.0,top
R65,120.249999,-84.5,180.0,top
R66,115.25,-84.5,180.0,top
R67,110.25,-84.5,180.0,top
R68,105.25,-84.5,180.0,top
R69,118.75,-78.0,0.0,top
R7,127.4,-126.9,90.0,top
R70,113.75,-78.0,0.0,top
R71,108.75,-78.0,0.0,top
R72,103.75,-78.0,0.0,top
R73,141.5,-78.0,180.0,top
R75,136.5,-78.0,180.0,top
R77,131.5,-78.0,180.0,top
R79,126.5,-78.0,180.0,top
R8,137.0,-135.773587,90.0,top
R81,140.999999,-84.5,180.0,top
R82,136.0,-84.5,180.0,top
R83,131.0,-84.5,180.0,top
R84,126.0,-84.5,180.0,top
R85,139.5,-78.0,0.0,top
R86,134.5,-78.0,0.0,top
R87,129.5,-78.0,0.0,top
R88,124.5,-78.0,0.0,top
R89,162.25,-78.0,180.0,top
R9,79.25,-78.0,180.0,top
R91,157.25,-78.0,180.0,top
R93,152.25,-78.0,180.0,top
R95,147.25,-78.0,180.0,top
R97,161.749999,-84.5,180.0,top
R98,156.75,-84.5,180.0,top
R99,151.75,-84.5,180.0,top
RV1,78.25,-75.0,270.0,top
RV10,94.0,-75.0,270.0,top
RV11,89.0,-75.0,270.0,top
RV12,84.0,-75.0,270.0,top
RV13,119.75,-75.0,270.0,top
RV14,114.75,-75.0,270.0,top
RV15,109.75,-75.0,270.0,top
RV16,104.75,-75.0,270.0,top
RV17,140.5,-75.0,270.0,top
RV18,135.5,-75.0,270.0,top
RV19,130.5,-75.0,270.0,top
RV2,73.25,-75.0,270.0,top
RV20,125.5,-75.0,270.0,top
RV21,161.25,-75.0,270.0,top
RV22,156.25,-75.0,270.0,top
RV23,151.25,-75.0,270.0,top
RV24,146.25,-75.0,270.0,top
RV25,182.0,-75.0,270.0,top
RV26,177.0,-75.0,270.0,top
RV27,172.0,-75.0,270.0,top
RV28,167.0,-75.0,270.0,top
RV29,202.75,-75.0,270.0,top
RV3,68.25,-75.0,270.0,top
RV30,197.75,-75.0,270.0,top
RV31,192.75,-75.0,270.0,top
RV32,187.75,-75.0,270.0,top
RV4,63.25,-75.0,270.0,top
RV5,57.5,-75.0,270.0,top
RV6,52.5,-75.0,270.0,top
RV7,47.5,-75.0,270.0,top
RV8,42.5,-75.0,270.0,top
RV9,99.0,-75.0,270.0,top
SW1,148.7625,-123.0,270.0,top
SW2,88.0,-126.5,180.0,top
SW3,118.0,-126.5,180.0,top
TP58,236.75,-58.75,0.0,top
TP59,75.5,-133.75,0.0,top
TP61,263.0,-108.75,0.0,top
TP62,136.75,-101.25,180.0,top
U1,215.0,-95.75,270.0,top
U2,235.25,-106.5,180.0,top
U3,221.0,-89.25,180.0,top
U4,254.25,-79.75,0.0,top
U5,263.25,-79.75,0.0,top
U6,168.0,-115.25,90.0,top
U7,56.799999,-123.75,0.0,top
U8,208.0,-119.25,0.0,top
